x_nm,y_nm,abs_ez_squared,in_particle_re
-147.0,480.0,2.515672375056264e-19,False
-141.12,480.0,2.521273222972325e-19,False
-135.24,480.0,2.5188201096756726e-19,False
-147.0,520.0,3.596232949104776e-19,False
-141.12,520.0,3.6032664571441345e-19,False
-135.24,520.0,3.606699974398754e-19,False
-5.88000000000005,720.0000000000001,3.6107884952574275e-14,False
-5.748905257243541e-14,720.0,3.608002046418678e-14,False
-5.880000000000058,760.0,5.220168052455541e-14,False
-6.059097986950926e-14,759.9999999999999,5.216984644826424e-14,False
-5.880000000000066,800.0,1.893775115339094e-12,False
-6.369290716658312e-14,800.0,1.8920364362311902e-12,False
5.879999999999934,639.9999999999999,6.882088855871632e-16,False
11.75999999999996,639.9999999999999,6.880962147108088e-16,False
5.879999999999934,680.0,9.940840810352958e-16,False
11.75999999999996,680.0,9.937932465890391e-16,False
17.639999999999983,559.9999999999999,1.3112585463359641e-17,False
23.519999999999992,559.9999999999999,1.3111292310744356e-17,False
17.639999999999986,599.9999999999999,1.8892682172242242e-17,False
23.51999999999999,599.9999999999999,1.8916667705910945e-17,False
29.40000000000001,480.0,2.4981884874414373e-19,False
35.28,480.0,2.5039854140974247e-19,False
29.400000000000006,519.9999999999999,3.6023470910957813e-19,False
35.28,519.9999999999999,3.5957215734721896e-19,False
41.15999999999996,400.0,4.7559956751887666e-21,False
47.03999999999996,399.99999999999994,4.752153168043365e-21,False
41.159999999999975,439.99999999999994,6.820476524460985e-21,False
47.03999999999997,439.99999999999994,6.80467776177562e-21,False
52.91999999999996,320.0,8.784239981470982e-23,False
58.79999999999995,320.0,8.796408794553093e-23,False
52.91999999999996,360.0,1.379407957811267e-22,False
58.79999999999995,360.0,1.3697703033603078e-22,False
64.67999999999992,240.0,1.8103162443732634e-24,False
70.55999999999993,240.0,1.7667443478215517e-24,False
64.67999999999994,280.00000000000006,2.4361523182802422e-24,False
70.55999999999995,280.00000000000006,2.462284644433142e-24,False
76.43999999999996,160.0,3.295657942096768e-26,False
82.31999999999995,159.99999999999997,3.2222916536586985e-26,False
76.43999999999996,200.00000000000003,4.7959496283862505e-26,False
82.31999999999995,200.00000000000003,5.225084247140823e-26,False
88.19999999999995,79.99999999999999,9.393467885136935e-28,False
94.07999999999994,79.99999999999999,1.0417076455186346e-27,False
88.19999999999995,119.99999999999997,4.9931988567763615e-28,False
94.07999999999993,119.99999999999997,4.09475358549851e-28,False
99.95999999999995,0.0,0.0,False
105.83999999999999,0.0,0.0,False
99.95999999999994,39.99999999999999,1.4204671577093854e-29,False
105.83999999999999,39.999999999999986,1.2924290209749326e-29,False
-94.08000000000003,719.9999999999999,3.62014255758122e-14,False
-88.2,720.0,3.6217868621996706e-14,False
-94.08000000000003,759.9999999999999,5.235248711068308e-14,False
-88.2,760.0,5.236822857543963e-14,False
-94.08000000000003,800.0,1.897455724969513e-12,False
-88.20000000000002,800.0,1.898727849581165e-12,False
-105.84000000000003,639.9999999999999,6.910935018250954e-16,False
-99.96000000000005,640.0,6.910421178620531e-16,False
-105.84000000000003,680.0,9.982899424469743e-16,False
-99.96000000000005,680.0,9.983395279069294e-16,False
-117.60000000000001,559.9999999999999,1.3177458970602717e-17,False
-111.72000000000003,559.9999999999999,1.3179290903138149e-17,False
-117.60000000000001,599.9999999999999,1.9021405689730834e-17,False
-111.72000000000001,599.9999999999999,1.8996431033774168e-17,False
-129.36,480.0,2.5178989468250075e-19,False
-123.48,479.9999999999999,2.5122556303626373e-19,False
-129.36,520.0,3.6155655162352595e-19,False
-123.48,519.9999999999999,3.6222261616632645e-19,False
-147.0,400.0,4.777579960835484e-21,False
-141.12,400.0,4.777989608887615e-21,False
-135.24,400.0,4.781825227030669e-21,False
-147.0,439.99999999999994,6.83978683553061e-21,False
-141.12,439.99999999999994,6.842057183679437e-21,False
-135.24,439.99999999999994,6.85692681532856e-21,False
-17.640000000000008,720.0,3.615115999255704e-14,False
-11.76000000000003,720.0,3.6121402760610637e-14,False
-17.640000000000008,760.0,5.2239196220488346e-14,False
-11.760000000000032,759.9999999999999,5.221421504947624e-14,False
-17.64000000000001,800.0,1.8951759249236482e-12,False
-11.760000000000039,800.0,1.893500257501387e-12,False
-5.88000000000005,639.9999999999999,6.889884414274269e-16,False
