Wavel.[nm]  	MAT._REFRACTIVE_INDEX  	MAT._ABSORPTION    
818.849	2.0764	0.0000
819.980	2.0763	0.0000
821.111	2.0762	0.0000
822.241	2.0762	0.0000
823.372	2.0761	0.0000
824.502	2.0761	0.0000
825.633	2.0760	0.0000
826.763	2.0760	0.0000
827.894	2.0759	0.0000
829.025	2.0758	0.0000
830.155	2.0758	0.0000
831.286	2.0757	0.0000
832.416	2.0757	0.0000
833.547	2.0756	0.0000
834.677	2.0756	0.0000
835.808	2.0755	0.0000
836.938	2.0754	0.0000
838.069	2.0754	0.0000
839.200	2.0753	0.0000
840.330	2.0753	0.0000
841.461	2.0752	0.0000
842.591	2.0752	0.0000
843.722	2.0751	0.0000
844.852	2.0751	0.0000
845.983	2.0750	0.0000
847.114	2.0750	0.0000
848.244	2.0749	0.0000
849.375	2.0749	0.0000
850.505	2.0748	0.0000
851.636	2.0748	0.0000
852.766	2.0747	0.0000
853.897	2.0746	0.0000
855.028	2.0746	0.0000
856.158	2.0745	0.0000
857.289	2.0745	0.0000
858.419	2.0744	0.0000
859.550	2.0744	0.0000
860.680	2.0743	0.0000
861.811	2.0743	0.0000
862.941	2.0742	0.0000
864.072	2.0742	0.0000
865.203	2.0741	0.0000
866.333	2.0741	0.0000
867.464	2.0740	0.0000
868.594	2.0740	0.0000
869.725	2.0739	0.0000
870.855	2.0739	0.0000
871.986	2.0738	0.0000
873.117	2.0738	0.0000
874.247	2.0737	0.0000
875.378	2.0737	0.0000
876.508	2.0737	0.0000
877.639	2.0736	0.0000
878.769	2.0736	0.0000
879.900	2.0735	0.0000
881.031	2.0735	0.0000
882.161	2.0734	0.0000
883.292	2.0734	0.0000
884.422	2.0733	0.0000
885.553	2.0733	0.0000
886.683	2.0732	0.0000
887.814	2.0732	0.0000
888.944	2.0731	0.0000
890.075	2.0731	0.0000
891.206	2.0730	0.0000
892.336	2.0730	0.0000
893.467	2.0730	0.0000
894.597	2.0729	0.0000
895.728	2.0729	0.0000
896.858	2.0728	0.0000
897.989	2.0728	0.0000
899.120	2.0727	0.0000
900.250	2.0727	0.0000
901.381	2.0726	0.0000
902.511	2.0726	0.0000
903.642	2.0726	0.0000
904.772	2.0725	0.0000
905.903	2.0725	0.0000
907.034	2.0724	0.0000
908.164	2.0724	0.0000
909.295	2.0723	0.0000
910.425	2.0723	0.0000
911.556	2.0723	0.0000
912.686	2.0722	0.0000
913.817	2.0722	0.0000
914.947	2.0721	0.0000
916.078	2.0721	0.0000
917.209	2.0720	0.0000
918.339	2.0720	0.0000
919.470	2.0720	0.0000
920.600	2.0719	0.0000
921.731	2.0719	0.0000
922.861	2.0718	0.0000
923.992	2.0718	0.0000
925.123	2.0718	0.0000
926.253	2.0717	0.0000
927.384	2.0717	0.0000
928.514	2.0716	0.0000
929.645	2.0716	0.0000
930.775	2.0716	0.0000
931.906	2.0715	0.0000
933.037	2.0715	0.0000
934.167	2.0714	0.0000
935.298	2.0714	0.0000
936.428	2.0714	0.0000
937.559	2.0713	0.0000
938.689	2.0713	0.0000
939.820	2.0712	0.0000
940.950	2.0712	0.0000
942.081	2.0712	0.0000
943.212	2.0711	0.0000
944.342	2.0711	0.0000
945.473	2.0711	0.0000
946.603	2.0710	0.0000
947.734	2.0710	0.0000
948.864	2.0709	0.0000
949.995	2.0709	0.0000
951.126	2.0709	0.0000
952.256	2.0708	0.0000
953.387	2.0708	0.0000
954.517	2.0708	0.0000
955.648	2.0707	0.0000
956.778	2.0707	0.0000
957.909	2.0706	0.0000
959.040	2.0706	0.0000
960.170	2.0706	0.0000
961.301	2.0705	0.0000
962.431	2.0705	0.0000
963.562	2.0705	0.0000
964.692	2.0704	0.0000
965.823	2.0704	0.0000
966.953	2.0704	0.0000
968.084	2.0703	0.0000
969.215	2.0703	0.0000
970.345	2.0703	0.0000
971.476	2.0702	0.0000
972.606	2.0702	0.0000
973.737	2.0702	0.0000
974.867	2.0701	0.0000
975.998	2.0701	0.0000
977.129	2.0700	0.0000
978.259	2.0700	0.0000
979.390	2.0700	0.0000
980.520	2.0699	0.0000
981.651	2.0699	0.0000
982.781	2.0699	0.0000
983.912	2.0698	0.0000
985.043	2.0698	0.0000
986.173	2.0698	0.0000
987.304	2.0697	0.0000
988.434	2.0697	0.0000
989.565	2.0697	0.0000
990.695	2.0696	0.0000
991.826	2.0696	0.0000
992.956	2.0696	0.0000
994.087	2.0696	0.0000
995.218	2.0695	0.0000
996.348	2.0695	0.0000
997.479	2.0695	0.0000
998.609	2.0694	0.0000
999.740	2.0694	0.0000
1000.870	2.0694	0.0000
1002.001	2.0693	0.0000
1003.132	2.0693	0.0000
1004.262	2.0693	0.0000
1005.393	2.0692	0.0000
1006.523	2.0692	0.0000
1007.654	2.0692	0.0000
1008.784	2.0691	0.0000
1009.915	2.0691	0.0000
1011.046	2.0691	0.0000
1012.176	2.0690	0.0000
1013.307	2.0690	0.0000
1014.437	2.0690	0.0000
1015.568	2.0690	0.0000
1016.698	2.0689	0.0000
1017.829	2.0689	0.0000
1018.959	2.0689	0.0000
1020.090	2.0688	0.0000
1021.221	2.0688	0.0000
1022.351	2.0688	0.0000
1023.482	2.0687	0.0000
1024.612	2.0687	0.0000
1025.743	2.0687	0.0000
1026.873	2.0687	0.0000
1028.004	2.0686	0.0000
1029.135	2.0686	0.0000
1030.265	2.0686	0.0000
1031.396	2.0685	0.0000
1032.526	2.0685	0.0000
1033.657	2.0685	0.0000
1034.787	2.0685	0.0000
1035.918	2.0684	0.0000
1037.049	2.0684	0.0000
1038.179	2.0684	0.0000
1039.310	2.0683	0.0000
1040.440	2.0683	0.0000
1041.571	2.0683	0.0000
1042.701	2.0683	0.0000
1043.832	2.0682	0.0000
1044.962	2.0682	0.0000
1046.093	2.0682	0.0000
1047.224	2.0681	0.0000
1048.354	2.0681	0.0000
1049.485	2.0681	0.0000
1050.615	2.0681	0.0000
1051.746	2.0680	0.0000
1052.876	2.0680	0.0000
1054.007	2.0680	0.0000
1055.138	2.0679	0.0000
1056.268	2.0679	0.0000
1057.399	2.0679	0.0000
1058.529	2.0679	0.0000
1059.660	2.0678	0.0000
1060.790	2.0678	0.0000
1061.921	2.0678	0.0000
1063.052	2.0678	0.0000
1064.182	2.0677	0.0000
1065.313	2.0677	0.0000
1066.443	2.0677	0.0000
1067.574	2.0677	0.0000
1068.704	2.0676	0.0000
1069.835	2.0676	0.0000
1070.965	2.0676	0.0000
1072.096	2.0676	0.0000
1073.227	2.0675	0.0000
1074.357	2.0675	0.0000
1075.488	2.0675	0.0000
1076.618	2.0675	0.0000
1077.749	2.0674	0.0000
1078.879	2.0674	0.0000
1080.010	2.0674	0.0000
1081.141	2.0674	0.0000
1082.271	2.0673	0.0000
1083.402	2.0673	0.0000
1084.532	2.0673	0.0000
1085.663	2.0673	0.0000
1086.793	2.0672	0.0000
1087.924	2.0672	0.0000
1089.055	2.0672	0.0000
1090.185	2.0672	0.0000
1091.316	2.0671	0.0000
1092.446	2.0671	0.0000
1093.577	2.0671	0.0000
1094.707	2.0671	0.0000
1095.838	2.0670	0.0000
1096.968	2.0670	0.0000
