period_nm,fill,ridge_width_nm,taper_deg,top_gap_nm,bottom_gap_nm,min_gap_nm,remaining_air_gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,score
559.3,0.703958519578044,393.724,2.0,165.57599999999996,144.62353830495135,144.62353830495135,112.62353830495135,0.0,8,302.18356407174275,0.276086146919036,992.0872398236224,547.263177533424,74.70527754632738
562.3,0.6646345367241686,373.724,2.0,188.57599999999996,167.62353830495135,167.62353830495135,135.62353830495135,0.0,8,300.5728786901946,0.27757574227637843,997.4035558577492,541.4249750810686,80.0681730055816
562.3,0.6735265872310155,378.724,2.0,183.57599999999996,162.62353830495135,162.62353830495135,130.62353830495135,0.0,8,300.57287866883206,0.27757572537464587,997.4035559286374,541.4250080102407,80.06817281233425
562.3,0.6824186377378624,383.724,2.0,178.57599999999996,157.62353830495135,157.62353830495135,125.62353830495135,0.0,8,300.5728786656246,0.27757551493030225,997.4035559392809,541.4254184867439,80.0681695304144
562.3,0.6913106882447093,388.724,2.0,173.57599999999996,152.62353830495135,152.62353830495135,120.62353830495135,0.0,8,300.57287867260015,0.2775756749121815,997.4035559161338,541.4251064465473,80.06817201024131
562.3,0.7002027387515561,393.724,2.0,168.57599999999996,147.62353830495135,147.62353830495135,115.62353830495135,0.0,3,309.927005369793,2.356675184861614e-09,967.300212004111,65755138289.87684,12.699787995888983
564.3,0.6622789296473507,373.724,2.0,190.57599999999996,169.62353830495135,169.62353830495135,137.62353830495135,0.0,8,299.50860715640545,0.27857487956000276,1000.9477218243892,537.5728917651631,83.64334822046493
564.3,0.6711394648236754,378.724,2.0,185.57599999999996,164.62353830495135,164.62353830495135,132.62353830495135,0.0,8,299.50860715678226,0.2785748760704385,1000.9477218231299,537.5728984997387,83.64334816479831
564.3,0.68,383.724,2.0,180.57599999999996,159.62353830495135,159.62353830495135,127.62353830495135,0.0,8,299.5086071591755,0.278574819018751,1000.9477218151318,537.5730085981236,83.6433472673373
564.3,0.6888605351763247,388.724,2.0,175.57599999999996,154.62353830495135,154.62353830495135,122.62353830495135,0.0,3,310.76835609278095,1.1511465422635132e-09,964.6814166320587,134982100316.13934,15.3185833679413
564.3,0.6977210703526493,393.724,2.0,170.57599999999996,149.62353830495135,149.62353830495135,117.62353830495135,0.0,1,309.3992841482813,6.999790567167605e-09,968.9500698919614,22100610095.358654,11.049930108038552
566.3,0.6599399611513332,373.724,2.0,192.57599999999996,171.62353830495135,171.62353830495135,139.62353830495135,0.0,8,298.4518565313849,0.2795749521148742,1004.4918516647729,533.7600065272557,87.21839136544752
566.3,0.6687692036023309,378.724,2.0,187.57599999999996,166.62353830495135,166.62353830495135,134.62353830495135,0.0,5,313.17209624598564,5.546218852226528e-08,957.2770422193797,2823293712.258242,22.722957780620277
566.3,0.6775984460533286,383.724,2.0,182.57599999999996,161.62353830495135,161.62353830495135,129.62353830495135,0.0,3,311.68496135791577,4.244628303885161e-10,961.8444749271707,367152244017.01636,18.155525072829278
566.3,0.6864276885043263,388.724,2.0,177.57599999999996,156.62353830495135,156.62353830495135,124.62353830495135,0.0,1,310.2555181872312,7.037600114819894e-10,966.2759900343916,220427072528.52432,13.724009965608388
566.3,0.695256930955324,393.724,2.0,172.57599999999996,151.62353830495135,151.62353830495135,119.62353830495135,0.0,1,308.8783680218448,5.2846835030234385e-09,970.5841814691207,29223923045.261963,9.415818530879278
