source,design_id,family,lambda980_nm,q980,lambda451_nm,q451,min_feature_nm,min_gap_nm,dual_score
fine_scan_2d.csv,fine_primitive_P554_f0p80,primitive_1d_grating_fine,979.9943146162461,66.42711678662471,451.2241985378194,55.34694195843,110.79999999999995,110.79999999999995,58.006776966122246
coarse_scan_2d.csv,dimer_P600_dW70,dimerized_same_pitch_grating,982.7881677520971,177.05255889413445,450.84595391811627,92.19126079829033,228.0,228.0,58.134907113358004
coarse_scan_2d.csv,primitive_P540_f0p75,primitive_1d_grating,956.5729939811669,14941749450.703346,445.7520502510803,2464.928758730085,135.0,135.0,58.5347442992527
wide_shallow_groove_scan_2d.csv,groove_P554_f0p76_gw180_gd180,wide_shallow_groove_1d,979.9943146162257,66.42711678678086,452.14052090996626,24.740599831545545,120.0,132.95999999999998,58.82183295961134
wide_shallow_groove_scan_2d.csv,groove_P554_f0p76_gw180_gd120,wide_shallow_groove_1d,979.9943146162046,66.42711678684554,452.8604948354322,29.421864109705158,120.0,132.95999999999998,59.24076704324935
coarse_scan_2d.csv,hybrid_451_980_P360_650,hybrid_451_980_supercell,979.915058564922,23.48829560310864,453.6589170904341,266.1747809970872,177.5,177.5,59.53217181150376
wide_shallow_groove_scan_2d.csv,groove_P554_f0p76_gw160_gd120,wide_shallow_groove_1d,979.9943146162108,66.42711678683452,453.05375213562496,27.61134462015171,120.0,132.95999999999998,59.54435485866785
wide_shallow_groove_scan_2d.csv,groove_P554_f0p76_gw140_gd120,wide_shallow_groove_1d,979.9943146162154,66.42711678682113,453.1111064175613,27.249748035917992,120.0,132.95999999999998,59.62460940273044
wide_shallow_groove_scan_2d.csv,groove_P554_f0p76_gw160_gd180,wide_shallow_groove_1d,979.9943146162294,66.42711678677851,453.04039048794624,25.58021170291547,120.0,132.95999999999998,59.663726899255884
fine_scan_2d.csv,fine_primitive_P556_f0p78,primitive_1d_grating_fine,979.8377780794224,27.303298058836088,450.5099993023409,55.95108949380771,122.32,122.32,59.76970457737245
fine_scan_2d.csv,fine_primitive_P552_f0p70,primitive_1d_grating_fine,978.8171379824281,246.26038891877266,447.172905195174,23.970370124841548,165.60000000000002,165.60000000000002,59.9343579528634
coarse_scan_2d.csv,trimer_visible_pump_s1p08,trimer_visible_pump_supercell,978.0474649288726,92.37482162125404,449.9180469144368,63.20496591226417,143.0999999999999,143.0999999999999,60.025143132687774
wide_shallow_groove_scan_2d.csv,groove_P554_f0p76_gw160_gd100,wide_shallow_groove_1d,979.9943146162112,66.42711678689814,453.72552543842653,26.131261191949108,100.0,132.95999999999998,60.31183690374845
wide_shallow_groove_scan_2d.csv,groove_P554_f0p76_gw180_gd100,wide_shallow_groove_1d,979.9943146162055,66.42711678692153,453.8834419353201,27.276434734573204,100.0,132.95999999999998,60.39524446963069
wide_shallow_groove_scan_2d.csv,groove_P556_f0p75_gw160_gd150,wide_shallow_groove_1d,979.8377780795453,27.30329805882703,450.15428016948124,46.572369577369706,128.5,139.0,60.44414455987575
wide_shallow_groove_scan_2d.csv,groove_P554_f0p76_gw140_gd180,wide_shallow_groove_1d,979.9943146162326,66.427116786772,453.9680903221909,25.68348863430519,120.0,132.95999999999998,60.58442721347597
wide_shallow_groove_scan_2d.csv,groove_P556_f0p75_gw140_gd150,wide_shallow_groove_1d,979.8377780795402,27.303298058816544,449.97875631393873,45.602746160524205,138.5,139.0,60.656217770838566
wide_shallow_groove_scan_2d.csv,groove_P556_f0p75_gw180_gd150,wide_shallow_groove_1d,979.8377780795485,27.30329805883719,449.9173963463261,46.311879192577955,118.5,139.0,60.690772108987005
coarse_scan_2d.csv,dimer_P420_dW100,dimerized_same_pitch_grating,981.0542912467811,56.388871374820745,452.2229198826133,33.61210762053433,159.60000000000002,159.60000000000002,60.96716557872338
wide_shallow_groove_scan_2d.csv,groove_P556_f0p75_gw120_gd150,wide_shallow_groove_1d,979.8377780795338,27.303298058806767,449.6643109926774,43.66675408696279,120.0,139.0,61.04602343581609
fine_scan_2d.csv,fine_primitive_P554_f0p70,primitive_1d_grating_fine,979.9943146162466,66.42711678680045,447.6807891615141,24.092774836125223,166.20000000000005,166.20000000000005,61.0466164999133
coarse_scan_2d.csv,primitive_P980_f0p55,primitive_1d_grating,977.4976195711253,69.11168994196073,451.9621104915981,87.08130089443809,441.0,441.0,61.330311127957614
wide_shallow_groove_scan_2d.csv,groove_P554_f0p76_gw120_gd180,wide_shallow_groove_1d,979.9943146162352,66.42711678676197,446.4097076046368,41.98308334686663,120.0,132.95999999999998,61.352948019712805
fine_scan_2d.csv,fine_primitive_P556_f0p80,primitive_1d_grating_fine,979.8377780794237,27.30329805884481,451.6138148070711,55.25065706018009,111.19999999999999,111.19999999999999,61.41540308865655
