x_nm,y_nm,abs_ez_squared,in_rare_earth_mask
132.07021276595745,639.9999999999999,5.844724046037064e-16,False
126.06702127659574,680.0,3.428440060707017e-17,False
132.07021276595748,680.0,1.0605604066365748e-16,False
138.0734042553192,559.9999999999999,5.600910605748346e-16,False
144.0765957446809,560.0,8.020452411807653e-18,False
138.0734042553192,599.9999999999999,5.475221927281503e-16,False
144.0765957446809,600.0,6.855369134374304e-17,False
150.0797872340426,480.0,1.941074017252704e-15,False
156.0829787234043,480.0,1.603403487347942e-14,False
150.07978723404258,520.0,2.4502620804937517e-15,False
156.0829787234043,520.0,1.0514623363416432e-14,False
162.08617021276604,399.99999999999994,3.558835931723829e-13,False
168.08936170212775,400.00000000000006,5.773352801038932e-13,False
162.086170212766,439.99999999999994,1.7448670154419187e-13,False
168.08936170212772,440.0,2.928953275639321e-13,False
174.0925531914894,320.0,1.4644697705515541e-12,False
180.09574468085114,320.0,1.2582982445017408e-12,False
174.09255319148946,360.00000000000006,9.75154182006055e-13,False
180.09574468085117,360.0,7.959694678213406e-13,False
186.09893617021288,240.0,7.718252542015276e-13,False
192.10212765957465,240.0,2.302567521871257e-13,False
186.09893617021288,280.00000000000006,8.653668050490465e-13,False
192.10212765957465,280.00000000000006,2.2520906345858085e-13,False
198.1053191489364,160.0,8.418042692937633e-16,False
204.1085106382981,159.99999999999997,3.380302783592771e-15,False
198.10531914893642,200.00000000000003,3.693199025928248e-15,False
204.1085106382981,200.00000000000003,3.133897914780579e-15,False
210.1117021276596,79.99999999999997,1.851938867196628e-15,False
216.11489361702135,79.99999999999997,1.7063510817051012e-15,False
210.11170212765973,119.99999999999997,4.811168816337064e-16,False
216.1148936170214,119.99999999999997,9.599887615305172e-16,False
222.1180851063831,0.0,0.0,False
228.12127659574475,0.0,0.0,False
222.1180851063831,39.999999999999986,3.1259876072568725e-15,False
