design_id,period_nm,radius_nm,axis_gap_nm,kx_norm,ky_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_count,bottom_count,side_count,score
cyl_P330_G130,330.0,100.0,130.0,0.0,0.0,1,658.0658986664954,3.1121770648094897,455.56601338482875,105.72436673148907,14,6,6,2,28.469313014881674
cyl_P330_G130,330.0,100.0,130.0,0.0,0.0,2,657.9177165287814,3.0999396532117856,455.6686200543822,106.11782649496516,14,6,6,2,28.565466669650252
cyl_P330_G130,330.0,100.0,130.0,0.0,0.0,3,654.7504569171848,1.9246938562541624,457.8728503856835,170.09210446368328,14,6,6,2,29.950113767739683
cyl_P330_G130,330.0,100.0,130.0,0.0,0.0,4,649.4451393581043,1.6938121418795393,461.61321385253194,191.7110886445315,14,6,6,2,33.48262491906128
cyl_P330_G150,330.0,90.0,150.0,0.0,0.0,1,653.7400322226028,2.649319114273417,458.5805415353831,123.37887661409425,14,6,6,2,31.215578288983235
cyl_P330_G150,330.0,90.0,150.0,0.0,0.0,2,653.6846497483394,2.650787456654959,458.6193940999171,123.30008732069888,14,6,6,2,31.255540563270277
cyl_P330_G150,330.0,90.0,150.0,0.0,0.0,3,676.4773708689771,0.17685516989225436,443.1670162372143,1912.5179413220096,14,6,6,2,26.706561690948508
cyl_P330_G150,330.0,90.0,150.0,0.0,0.0,4,651.1075429289002,1.7583100072487499,460.4346259781186,185.15152056368504,14,6,6,2,32.364516845880445
cyl_P330_G180,330.0,75.0,180.0,0.0,0.0,1,667.2244011556841,0.07917497659103094,449.3127911400367,4213.606557802685,12,6,4,2,19.1885929349247
cyl_P330_G180,330.0,75.0,180.0,0.0,0.0,2,656.5684143589124,0.16570310490212925,456.60505659981203,1981.1590577820114,12,6,4,2,24.41737922235448
cyl_P330_G180,330.0,75.0,180.0,0.0,0.0,3,676.3578473892829,1.0057255400218688,443.24533108795606,336.2536897365538,12,6,4,2,29.64800067771589
cyl_P330_G180,330.0,75.0,180.0,0.0,0.0,4,676.4842325697653,0.9884368854968456,443.1625211147588,342.19900253404904,12,6,4,2,29.70036392806305
cyl_P260_G130,260.0,65.0,130.0,0.0,0.0,1,666.0292199257037,0.00011425024002732272,450.1190774084088,2914782.5849924874,11,5,4,2,7.022497927299486
cyl_P260_G130,260.0,65.0,130.0,0.0,0.0,2,676.9223790860509,0.00024894211566469206,442.8756786040459,1359597.9476566731,11,5,4,2,15.590679394616732
cyl_P260_G130,260.0,65.0,130.0,0.0,0.0,3,649.8458341491628,0.6206825966116298,461.3285832516193,523.4928751802757,11,5,4,2,31.452940150661657
cyl_P260_G130,260.0,65.0,130.0,0.0,0.0,4,649.4925012026704,0.6321192484373345,461.5795524118784,513.7420690860818,11,5,4,2,31.73657188988925
cyl_P260_G150,260.0,55.0,150.0,0.0,0.0,1,665.169376872957,0.000114989033655831,450.70093185792945,2892316.57891764,11,5,4,2,6.454084834119539
cyl_P260_G150,260.0,55.0,150.0,0.0,0.0,2,678.0723094749347,0.0001744463835419017,442.1246138662472,1943497.7547472718,11,5,4,2,15.721049960781372
cyl_P260_G150,260.0,55.0,150.0,0.0,0.0,3,648.384521042732,4.240213297390832e-05,462.3683142803498,7645659.257774936,11,5,4,2,15.834654524276203
cyl_P260_G150,260.0,55.0,150.0,0.0,0.0,4,686.6361313820377,0.00023057768377874284,436.6103738184998,1488947.499448642,11,5,4,2,21.69810864261165
cyl_P360_G150,360.0,105.0,150.0,0.0,0.0,1,667.9810104781975,1.3353930381465264,448.8038631298562,250.10651972745384,14,6,6,2,24.603636818219762
cyl_P360_G150,360.0,105.0,150.0,0.0,0.0,2,668.7338986295177,2.0242522259250437,448.2985812658596,165.18047752767555,14,6,6,2,25.82958386493942
